ECHOSTAR 18,124.12,26.21
ECHOSTAR 16,124.26,26.3
ECHOSTAR 15,124.41,26.4
NIMIQ 5,135.69,33.44
HORIZONS 2,137.18,33.05
INTELSAT 16,139.31,35.25
QUETZSAT 1,140.22,35.71
ARSAT 2,145.15,37.73
NIMIQ 4,146.83,38.37
GALAXY 17,150.57,40.01
GALAXY 28,156.07,41.72
GALAXY 36,156.29,41.21
GALAXY 32,159.26,41.9
NIMIQ 6,159.32,41.85
GALAXY 35,162.26,42.44
GALAXY 3C,164.53,43.72
JUPITER 3,165.39,42.97
GALAXY 19,168.1,43.26
ECHOSTAR 19,168.24,43.34
GALAXY 16,171.16,43.59
DIRECTV 11,171.47,43.66
DIRECTV 14,171.56,43.61
DIRECTV 9S,174.51,44.3
DIRECTV 12,176.95,43.95
DIRECTV 10,177.07,43.91
DIRECTV 15,177.21,43.97
SES-11,180.42,43.93
ECHOSTAR 17,183.77,43.95
NIMIQ 2,187.05,45.64
ECHOSTAR 23,188.13,43.7
ECHOSTAR 11,188.22,43.61
ECHOSTAR 10,188.59,43.58
DIRECTV 5,188.74,45.8
ECHOSTAR 14,201.61,41.71
DIRECTV 8,201.85,41.66
GALAXY 31,204.63,41
GALAXY 23,204.97,42.25
GALAXY 18,207.4,40.25
GALAXY 30,210.11,39.43
GALAXY 37,212.71,38.53
GALAXY 34,215.27,37.59
GALAXY 33,220.12,35.49
SPACEWAY 2,224.66,30.18
GALAXY 13,237.42,25.1
